local_datetime,segment_id,crosswalk,direction,volume
06/29/2025,Washington Street and Calle Tampico,South Crosswalk,wb,2
06/29/2025,Washington Street and Calle Tampico,South Crosswalk,eb,3
06/30/2025,Washington Street and Calle Tampico,South Crosswalk,wb,5
06/30/2025,Washington Street and Calle Tampico,South Crosswalk,eb,5
06/01/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/01/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/02/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/02/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/03/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/03/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/04/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/04/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/05/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/05/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/06/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/06/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/07/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/07/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/08/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/08/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/09/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/09/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/10/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/10/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/11/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/11/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/12/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/12/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/13/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/13/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/14/2025,Washington Street and Calle Tampico,East Crosswalk,sb,
06/14/2025,Washington Street and Calle Tampico,East Crosswalk,nb,
06/15/2025,Washington Street and Calle Tampico,East Crosswalk,sb,0
06/15/2025,Washington Street and Calle Tampico,East Crosswalk,nb,0
06/16/2025,Washington Street and Calle Tampico,East Crosswalk,sb,0
06/16/2025,Washington Street and Calle Tampico,East Crosswalk,nb,1
06/17/2025,Washington Street and Calle Tampico,East Crosswalk,sb,1
06/17/2025,Washington Street and Calle Tampico,East Crosswalk,nb,0
06/18/2025,Washington Street and Calle Tampico,East Crosswalk,sb,0
06/18/2025,Washington Street and Calle Tampico,East Crosswalk,nb,1
06/19/2025,Washington Street and Calle Tampico,East Crosswalk,sb,0
06/19/2025,Washington Street and Calle Tampico,East Crosswalk,nb,0
06/20/2025,Washington Street and Calle Tampico,East Crosswalk,sb,2
06/20/2025,Washington Street and Calle Tampico,East Crosswalk,nb,1
06/21/2025,Washington Street and Calle Tampico,East Crosswalk,sb,3
06/21/2025,Washington Street and Calle Tampico,East Crosswalk,nb,3
06/22/2025,Washington Street and Calle Tampico,East Crosswalk,sb,0
06/22/2025,Washington Street and Calle Tampico,East Crosswalk,nb,3
06/23/2025,Washington Street and Calle Tampico,East Crosswalk,sb,2
06/23/2025,Washington Street and Calle Tampico,East Crosswalk,nb,4
06/24/2025,Washington Street and Calle Tampico,East Crosswalk,sb,1
06/24/2025,Washington Street and Calle Tampico,East Crosswalk,nb,4
06/25/2025,Washington Street and Calle Tampico,East Crosswalk,sb,3
06/25/2025,Washington Street and Calle Tampico,East Crosswalk,nb,4
06/26/2025,Washington Street and Calle Tampico,East Crosswalk,sb,0
06/26/2025,Washington Street and Calle Tampico,East Crosswalk,nb,4
06/27/2025,Washington Street and Calle Tampico,East Crosswalk,sb,1
06/27/2025,Washington Street and Calle Tampico,East Crosswalk,nb,2
06/28/2025,Washington Street and Calle Tampico,East Crosswalk,sb,3
06/28/2025,Washington Street and Calle Tampico,East Crosswalk,nb,8
06/29/2025,Washington Street and Calle Tampico,East Crosswalk,sb,1
06/29/2025,Washington Street and Calle Tampico,East Crosswalk,nb,9
06/30/2025,Washington Street and Calle Tampico,East Crosswalk,sb,1
06/30/2025,Washington Street and Calle Tampico,East Crosswalk,nb,2
06/01/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/01/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
06/02/2025,Washington Street and Calle Tampico,West Crosswalk,nb,
06/02/2025,Washington Street and Calle Tampico,West Crosswalk,sb,
