local_datetime,segment_id,direction,turn_type,volume
6/19/2025,Village Shopping Center,sb,Left,39
6/20/2025,Village Shopping Center,sb,Through,2854
6/20/2025,Village Shopping Center,sb,Left,45
6/21/2025,Village Shopping Center,sb,Through,2419
6/21/2025,Village Shopping Center,sb,Left,34
6/22/2025,Village Shopping Center,sb,Through,1965
6/22/2025,Village Shopping Center,sb,Left,40
6/23/2025,Village Shopping Center,sb,Through,5853
6/23/2025,Village Shopping Center,sb,Left,84
6/24/2025,Village Shopping Center,sb,Through,8756
6/24/2025,Village Shopping Center,sb,Left,114
6/25/2025,Village Shopping Center,sb,Through,8634
6/25/2025,Village Shopping Center,sb,Left,127
6/26/2025,Village Shopping Center,sb,Through,8663
6/26/2025,Village Shopping Center,sb,Left,115
6/27/2025,Village Shopping Center,sb,Through,8625
6/27/2025,Village Shopping Center,sb,Left,114
6/28/2025,Village Shopping Center,sb,Through,6307
6/28/2025,Village Shopping Center,sb,Left,110
6/29/2025,Village Shopping Center,sb,Through,4937
6/29/2025,Village Shopping Center,sb,Left,86
6/30/2025,Village Shopping Center,sb,Through,7555
6/30/2025,Village Shopping Center,sb,Left,121
6/15/2025,Washington and Avenue 50,sb,Right,1
6/15/2025,Washington and Avenue 50,sb,Through,9
6/15/2025,Washington and Avenue 50,sb,Left,0
6/16/2025,Washington and Avenue 50,sb,Right,973
6/16/2025,Washington and Avenue 50,sb,Through,3423
6/16/2025,Washington and Avenue 50,sb,Left,522
6/17/2025,Washington and Avenue 50,sb,Right,984
6/17/2025,Washington and Avenue 50,sb,Through,3638
6/17/2025,Washington and Avenue 50,sb,Left,528
6/18/2025,Washington and Avenue 50,sb,Right,1068
6/18/2025,Washington and Avenue 50,sb,Through,3773
6/18/2025,Washington and Avenue 50,sb,Left,522
6/19/2025,Washington and Avenue 50,sb,Right,1004
6/19/2025,Washington and Avenue 50,sb,Through,3645
6/19/2025,Washington and Avenue 50,sb,Left,517
6/20/2025,Washington and Avenue 50,sb,Right,1109
6/20/2025,Washington and Avenue 50,sb,Through,4041
6/20/2025,Washington and Avenue 50,sb,Left,571
6/21/2025,Washington and Avenue 50,sb,Right,841
6/21/2025,Washington and Avenue 50,sb,Through,3332
6/21/2025,Washington and Avenue 50,sb,Left,378
6/22/2025,Washington and Avenue 50,sb,Right,618
6/22/2025,Washington and Avenue 50,sb,Through,2663
6/22/2025,Washington and Avenue 50,sb,Left,321
6/23/2025,Washington and Avenue 50,sb,Right,2333
6/23/2025,Washington and Avenue 50,sb,Through,9211
6/23/2025,Washington and Avenue 50,sb,Left,1284
6/24/2025,Washington and Avenue 50,sb,Right,3298
6/24/2025,Washington and Avenue 50,sb,Through,12056
6/24/2025,Washington and Avenue 50,sb,Left,1609
6/25/2025,Washington and Avenue 50,sb,Right,2942
6/25/2025,Washington and Avenue 50,sb,Through,11210
6/25/2025,Washington and Avenue 50,sb,Left,1497
6/26/2025,Washington and Avenue 50,sb,Right,3269
6/26/2025,Washington and Avenue 50,sb,Through,11298
6/26/2025,Washington and Avenue 50,sb,Left,1556
6/27/2025,Washington and Avenue 50,sb,Right,3328
6/27/2025,Washington and Avenue 50,sb,Through,11978
6/27/2025,Washington and Avenue 50,sb,Left,1672
6/28/2025,Washington and Avenue 50,sb,Right,2476
6/28/2025,Washington and Avenue 50,sb,Through,9601
6/28/2025,Washington and Avenue 50,sb,Left,1192
6/29/2025,Washington and Avenue 50,sb,Right,1905
6/29/2025,Washington and Avenue 50,sb,Through,7688
6/29/2025,Washington and Avenue 50,sb,Left,971
