local_datetime,segment_id,direction,volume
6/5/2025,Washington and Avenue 50,sb,
6/6/2025,Washington and Avenue 50,sb,
6/7/2025,Washington and Avenue 50,sb,
6/8/2025,Washington and Avenue 50,sb,
6/9/2025,Washington and Avenue 50,sb,
6/10/2025,Washington and Avenue 50,sb,
6/11/2025,Washington and Avenue 50,sb,
6/12/2025,Washington and Avenue 50,sb,
6/13/2025,Washington and Avenue 50,sb,
6/14/2025,Washington and Avenue 50,sb,
6/15/2025,Washington and Avenue 50,sb,
6/16/2025,Washington and Avenue 50,sb,
6/17/2025,Washington and Avenue 50,sb,3
6/18/2025,Washington and Avenue 50,sb,5
6/19/2025,Washington and Avenue 50,sb,3
6/20/2025,Washington and Avenue 50,sb,4
6/21/2025,Washington and Avenue 50,sb,15
6/22/2025,Washington and Avenue 50,sb,6
6/23/2025,Washington and Avenue 50,sb,9
6/24/2025,Washington and Avenue 50,sb,20
6/25/2025,Washington and Avenue 50,sb,16
6/26/2025,Washington and Avenue 50,sb,19
6/27/2025,Washington and Avenue 50,sb,22
6/28/2025,Washington and Avenue 50,sb,29
6/29/2025,Washington and Avenue 50,sb,17
6/30/2025,Washington and Avenue 50,sb,17
6/1/2025,Washington and Avenue 50,nb,
6/2/2025,Washington and Avenue 50,nb,
6/3/2025,Washington and Avenue 50,nb,
6/4/2025,Washington and Avenue 50,nb,
6/5/2025,Washington and Avenue 50,nb,
6/6/2025,Washington and Avenue 50,nb,
6/7/2025,Washington and Avenue 50,nb,
6/8/2025,Washington and Avenue 50,nb,
6/9/2025,Washington and Avenue 50,nb,
6/10/2025,Washington and Avenue 50,nb,
6/11/2025,Washington and Avenue 50,nb,
6/12/2025,Washington and Avenue 50,nb,
6/13/2025,Washington and Avenue 50,nb,
6/14/2025,Washington and Avenue 50,nb,
6/15/2025,Washington and Avenue 50,nb,
6/16/2025,Washington and Avenue 50,nb,
6/17/2025,Washington and Avenue 50,nb,1
6/18/2025,Washington and Avenue 50,nb,11
6/19/2025,Washington and Avenue 50,nb,22
6/20/2025,Washington and Avenue 50,nb,26
6/21/2025,Washington and Avenue 50,nb,26
6/22/2025,Washington and Avenue 50,nb,33
6/23/2025,Washington and Avenue 50,nb,28
6/24/2025,Washington and Avenue 50,nb,50
6/25/2025,Washington and Avenue 50,nb,72
6/26/2025,Washington and Avenue 50,nb,79
